domain,symptoms,coverage,age,model,brand,result,month
Dish,heating,CC,59,91145565690,WHIRLPOOL,0,4
Dish,NOT DRAINING,IW,60,917289453,WHIRLPOOL,1,6
LawnGarden,runs rough,SP,63,40180083710,KENMORE,0,10
Refrigeration,DOOR NOT OPENING,CC,94,ETW4400WQ1,KENMORE,0,7
Washer,not spinning,IW,27,5.624E+214,KENMORE,1,7
Refrigeration,makes a buzzing sound of and on,SP,13,66513969K010,BOSCH,0,12
Cooking,error,CC,72,0,LG,0,9
LawnGarden,not start,IW,70,41729042991,LG,1,12
Washer,noise,SP,79,23878,KITCHENAID,1,2
Refrigeration,lilltle ice,CC,36,GR2SHKXKQ00,KENMORE,0,11
Washer,NOT STARTING,IW,87,10650532101,CRAFTSMAN,1,2
Washer,NOT SPINNING,SP,96,11063932101,KENMORE PRO,1,10
LawnGarden,starting,CC,38,79078779405,KENMORE,1,6
Washer,no power,IW,2,72179209900,KENMORE ELIT,0,2
Refrigeration,ice maker not working,SP,94,11020922990,KENMORE,1,1
Refrigeration,ice maker,CC,37,MVWC200XW0,JENN-AIR,1,8
LawnGarden,info,IW,30,10656532400,KENMORE,1,2
Cooking,mwo-power cord,SP,79,41743142300,KENMORE ELIT,1,3
Washer,not starting,CC,35,DC28,KENMORE,0,5
Washer,info,IW,79,66513023K110,KENMORE,1,10
Washer,NOT WORKING,SP,6,11024622300,KENMORE,0,9
Refrigeration,making noise,CC,7,66513012K110,WEIDER,0,1
Dryer,NOT HEATING,IW,84,11082980120,ELECTROLUX,0,3
Cooking,,IW,10,13293,KENMORE,0,5
Dryer,too long,SP,66,66513292K110,KENMORE,1,10
Washer,streaks on cloths,CC,72,GLGT1031FS1,WHIRLPOOL,0,6
Refrigeration,MWO,IW,99,KUDS30IVBL2,WHIRLPOOL,0,5
LawnGarden,change,SP,63,596ARB222RCC/PARB22RCCO,KENMORE,0,11
Electronics,SCREEN,CC,41,JBP23DN1CC,CRAFTSMAN,0,1
Washer,starting,IW,11,13953930dm,KENMORE,1,11
Refrigeration,a,SP,57,66513962K010,CRAFTSMAN,0,5
Washer,clothes coming out too wet,CC,79,79079119200,GE,0,12
LawnGarden,flat trire,IW,37,none,KENMORE,1,2
Dryer,noise,SP,20,116.2641269,WHIRLPOOL,0,2
Dryer,not starting,CC,73,13953990,KENMORE,0,8
Refrigeration,demo,IW,44,PSI23NGMDBB,KENMORE,0,10
Cooking,clicking,SP,14,0,KENMORE,1,10
Washer,clothes not being cleaned,CC,78,11024082200,KENMORE,1,5
Refrigeration,handle,IW,37,DLE2101W,KENMORE,0,4
Cooking,error code,SP,2,665DU1010XTXB,SAMSUNG,0,2
HVAC,not heating,CC,30,665WDF750SAYB,KENMORE,0,2
LawnGarden,not starting,IW,34,JVM1740SP1SS,KENMORE ELIT,0,9
Refrigeration,NDCS/no water or ice/ panel locked,SP,1,10674212402,KENMORE,1,9
Dryer,air dry,CC,36,PN43D450A2DXZA,SAMSUNG,1,8
Dish,leaking water from door,IW,99,none,PROFORM,0,2
Refrigeration,drawer cracked,SP,24,385.1762889,KENMORE,0,11
LawnGarden,.,CC,85,13953918,GE PROFILE,0,7
Refrigeration,REFRIG- FRAME ON LONG DRAWER CRACKED,IW,91,464MED9700SQ,KENMORE,1,2
Dish,.,SP,9,247.889571,GOODMAN,1,7
Washer,leaking on door,CC,33,NO MODEL,KENMORE,0,12
LawnGarden,bagger not working,IW,64,358.796355,GE PROFILE,0,5
Dish,adjsuter is broken,SP,64,11068722700,CRAFTSMAN,0,2
Dryer,door not closing,CC,35,255.19502,KENMORE,0,11
Refrigeration,not cooling,IW,69,X,KENMORE,0,7
Dryer,heating,SP,72,11098752796,FRIGIDAIRE,1,3
Dish,dishes not coming out clean,CC,52,66513963K010,WHIRLPOOL,1,8
Washer,water line,IW,49,30437MF301B/F7,BOSCH,1,10
Refrigeration,broken,SP,36,KUDC10IXBL4,KENMORE,1,6
kai_prj_nm,kai_srh_tms,CC,38,11027032603,KENMORE,1,7
Washer,WASHER PORTION NOT DRAINING,IW,98,91729908,KENMORE,1,4
Washer,CYCLE,SP,76,110LSQ8000LQ,KITCHENAID,1,5
Dish,cleaning,CC,23,153339462,KENMORE,1,12
Refrigeration,no ice made,IW,78,KUDC03FVSS2,KENMORE,0,7
Cooking,information on model,SP,25,12,WHIRLPOOL,0,12
LawnGarden,not starting,CC,61,11047566600,KENMORE,0,8
Washer,cleaning,IW,86,40185043010,KENMORE,1,8
Refrigeration,door bin broke,SP,79,11044932200,KENMORE,0,4
Washer,dd,CC,8,41798702892,PROFORM,0,6
Refrigeration,ICE IN FREEZER,IW,19,13293,FRIGIDAIRE,0,10
Refrigeration,not cooling,SP,49,79090313010,BOSCH,1,4
Dish,adj,CC,64,LFUS2613LE0,SAMSUNG,1,12
Cooking,not working,IW,40,2213049112,CRAFTSMAN,0,5
Washer,recall on so 41109616 will not run,SP,86,247887800,CRAFTSMAN,1,11
Dish,noise,CC,4,pn64d550c1fxza,RCA,0,2
Cooking,NOT HEATING ENOUGH,IW,12,EB220KXFW01,KITCHENAID,1,10
LawnGarden,runs rough,SP,62,LFX28978SW,Samsung,1,7
Dryer,burning odor,CC,76,GSD3330C06WW,KENMORE,1,7
Refrigeration,BIN,IW,48,665GU2475XTVY,KENMORE,1,4
Dryer,af,SP,85,,KENMORE,0,5
Cooking,smell,CC,34,11095091401,KENMORE,1,5
Washer,cleaning,IW,96,LTF6000ES1,SAMSUNG,0,12
Cooking,door is dirty,SP,95,66513973K010,KENMORE,1,3
Refrigeration,NDCS/inside liner cracked,CC,68,92116471,KITCHENAID,1,4
Refrigeration,shelf,IW,68,10658703802,SEARS,0,8
Washer,suds,SP,71,DC14,BOSCH,0,11
Washer,soap left in clothes,CC,33,66513032K110,MAYTAG,1,5
Electronics,not ejecting,IW,52,153339462,KENMORE,1,4
Washer,clothes,IW,97,KSRS25CKBL01,LG,0,8
Dryer,error code cl,SP,16,WFW9150WW,Frigidaire,1,1
Washer,cl,CC,72,66513973K010,WHIRLPOOL,1,4
Refrigeration,not producing ice,IW,34,666KECD867XSS,KENMORE,0,12
Washer,not agitating,SP,37,11014212200,SAMSUNG,0,10
Refrigeration,no water or ice,CC,14,66513592K600,KENMORE,0,6
Dryer,lint screen,IW,51,79045599900,SAMSUNG,0,5
Refrigeration,door,SP,90,,KENMORE,0,9
Refrigeration,Bin,CC,12,139.3043,FRIGIDAIRE,0,9
Dryer,vent hose,IW,99,83114922,MAYTAG,1,2
Washer,not fiiling,SP,55,11045872400,KENMORE,0,1
Washer,Not aggitating,CC,94,79640318900,BROAN,0,7
Dryer,info,IW,96,83123889,KENMORE,0,10
Dish,heating,SP,91,BX21V1C,KENMORE,0,10
Dish,NOT DRAINING,CC,47,11045986400,GE,0,10
LawnGarden,runs rough,IW,47,114FTR-0000-01,KENMORE,0,1
Refrigeration,DOOR NOT OPENING,SP,34,,KITCHENAID,0,2
Washer,not spinning,CC,34,6253852002,KENMORE,1,8
Refrigeration,makes a buzzing sound of and on,IW,76,66513259K110,KENMORE,1,8
Cooking,error,SP,53,MEDB850WL0,WHIRLPOOL,1,10
LawnGarden,not start,CC,88,KUDS301XWH1,KENMORE,0,5
Washer,noise,IW,24,,TRANE,1,9
Refrigeration,lilltle ice,SP,3,79041053110,GE,0,4
Washer,NOT STARTING,CC,60,11065066500,FRIGIDAIRE,1,9
Washer,NOT SPINNING,IW,59,666KUDC10FXWH,AMANA,1,3
LawnGarden,starting,SP,92,LSQ8220HQ0,WHIRLPOOL,0,12
Washer,no power,CC,96,MED9700SQ0,KENMORE,1,12
Refrigeration,ice maker not working,IW,44,110.298228,WHIRLPOOL,1,9
Refrigeration,ice maker,SP,81,11028894790,KENMORE ELIT,0,3
LawnGarden,info,CC,98,,KENMORE,1,9
Cooking,mwo-power cord,IW,12,41742042100,PROFORM,0,6
Washer,not starting,SP,35,mdb7749aww,KENMORE ELIT,0,9
Washer,info,CC,31,,KENMORE ELIT,0,12
Washer,NOT WORKING,IW,79,42LA45RQ,KENMORE,0,12
Refrigeration,making noise,SP,87,DV5471AGW,KENMORE,1,10
Dryer,NOT HEATING,CC,64,79041003600,KENMORE,1,9
Cooking,,IW,11,630SHX55R55UC,WHIRLPOOL,0,1
Dryer,too long,SP,74,WF306BHW/XAA,KENMORE,0,1
Washer,streaks on cloths,CC,47,223233,MAYTAG,1,1
Refrigeration,MWO,IW,15,10652582201,KENMORE,1,9
LawnGarden,change,SP,31,,KENMORE,1,9
Electronics,SCREEN,CC,72,,WHIRLPOOL,1,4
Washer,starting,IW,43,21973,KENMORE,1,7
Refrigeration,a,SP,63,,CRAFTSMAN,1,10
Washer,clothes coming out too wet,CC,5,,ADMIRAL,1,5
LawnGarden,flat trire,IW,84,401UN46D6000SFXZA,GE,0,7
Dryer,noise,SP,85,596.765395,KITCHENAID,1,4
Dryer,not starting,CC,51,,BOSCH,1,5
Refrigeration,demo,IW,92,,KENMORE,1,1
Cooking,clicking,SP,29,158-10302,MAGNAVOX,1,12
Washer,clothes not being cleaned,CC,6,665DU1010XTXT,KENMORE,1,12
Refrigeration,handle,IW,54,,GE,1,8
Cooking,error code,SP,87,,GE,0,11
HVAC,not heating,CC,93,,KENMORE,0,5
LawnGarden,not starting,IW,20,WASHER,SAMSUNG,1,10
Refrigeration,NDCS/no water or ice/ panel locked,SP,15,666KUDS30FXSS,SAMSUNG,0,3
Dryer,air dry,CC,88,153331150,WHIRLPOOL,1,5
Dish,leaking water from door,IW,43,153331650,WHIRLPOOL,1,10
Refrigeration,drawer cracked,SP,54,,KENMORE,1,8
LawnGarden,.,CC,55,11063942200,KENMORE,0,1
Refrigeration,REFRIG- FRAME ON LONG DRAWER CRACKED,IW,88,11062722100,WHIRLPOOL,1,5
Dish,.,SP,83,,KENMORE,0,11
Washer,leaking on door,CC,79,917271023,KENMORE ELIT,1,8
LawnGarden,bagger not working,IW,34,79048783900,KENMORE,0,3
Dish,adjsuter is broken,IW,34,2.53563E+11,KENMORE,1,1
Dryer,door not closing,SP,73,,SAMSUNG,1,7
Refrigeration,not cooling,CC,47,DCT364G,SEARS,1,3
Dryer,heating,IW,29,GTH18EBBZRWW,RCA,0,8
Dish,dishes not coming out clean,SP,21,FFHT1814LB0,LG,0,11
Washer,water line,CC,61,MAV6548AWW,KENMORE,1,7
Refrigeration,broken,IW,97,MAH8700AWW,GE,0,3
kai_prj_nm,kai_srh_tms,SP,33,66595014102,KITCHENAID,0,2
Washer,WASHER PORTION NOT DRAINING,CC,14,465MDB7759AWS,SONY,0,2
Washer,CYCLE,IW,68,GGG388LXS00,FRIGIDAIRE,1,2
Dish,cleaning,SP,88,LN26A450C1DXZA V.CT01,GE,0,3
Refrigeration,no ice made,CC,66,10674952300,BOSCH,0,8
Cooking,information on model,IW,40,,KENMORE ELIT,1,3
LawnGarden,not starting,SP,56,79640272900,KENMORE,0,2
Washer,cleaning,CC,85,10641562801,KENMORE,0,2
Refrigeration,door bin broke,IW,11,11045088400,GE,0,9
Washer,dd,SP,75,,SAMSUNG,1,6
Refrigeration,ICE IN FREEZER,CC,78,,KENMORE ELIT,1,10
Refrigeration,not cooling,IW,31,KUDS30FXSS4,CRAFTSMAN,1,10
Dish,adj,SP,44,41783052200,KENMORE ELIT,0,12
Cooking,not working,CC,30,11044921300,GE,1,3
Washer,recall on so 41109616 will not run,IW,67,,KENMORE ELIT,1,4
Dish,noise,SP,52,363.151211,KITCHENAID,1,4
Cooking,NOT HEATING ENOUGH,CC,57,,GE,1,7
LawnGarden,runs rough,IW,48,665WDF750SAYW,MAYTAG,0,5
Dryer,burning odor,SP,69,791FFGC3603LW,KENMORE,0,1
Refrigeration,BIN,CC,67,WTW7800XB0,KENMORE,1,5
Dryer,af,IW,83,79640272900,MAYTAG,1,3
Cooking,smell,SP,40,79040613800,KITCHENAID,0,4
Washer,cleaning,CC,41,MDBH979AWW4,HOOVER,0,4
Cooking,door is dirty,IW,15,RTW4440VQ,KITCHENAID,1,4
Refrigeration,NDCS/inside liner cracked,SP,60,11064812200,KENMORE ELIT,1,3
Refrigeration,shelf,CC,49,831.297761,KENMORE,0,12
Washer,suds,IW,27,22100,KENMORE,0,5
Washer,soap left in clothes,SP,33,,WHIRLPOOL,1,1
Electronics,not ejecting,CC,75,665WDF750SAYM,GE,0,2
Washer,clothes,IW,46,665WDF530PSYM,KENMORE,0,12
Dryer,error code cl,SP,27,22501,HOOVER,0,11
Washer,cl,CC,66,10654606300,ELCTRLX ICON,0,1
Refrigeration,not producing ice,IW,2,0,KENMORE,1,9
Washer,not agitating,SP,9,630SHE3AR56UC,AMANA,1,12
Refrigeration,no water or ice,CC,24,66513273L110,KENMORE,1,7
Dryer,lint screen,IW,62,LSR5132JOI,HOOVER,1,5
Refrigeration,door,SP,22,40185042010,KENMORE,1,11
Refrigeration,Bin,CC,89,ET1CHEXVB,KENMORE ELIT,1,6
Dryer,vent hose,IW,92,358350880,LG,1,7
Washer,not fiiling,SP,87,66516033402,KENMORE,0,8
Washer,Not aggitating,CC,91,,KENMORE,0,10
Dryer,info,IW,40,MAV7600AWW,KENMORE,1,3
Dish,heating,SP,16,,MAYTAG,1,11
Dish,NOT DRAINING,CC,32,79072503010,KENMORE,1,2
LawnGarden,runs rough,IW,36,401PN64D550C1FXZA,MAYTAG,0,11
Refrigeration,DOOR NOT OPENING,SP,66,WHRE5550K2WW,KITCHENAID,1,9
Washer,not spinning,CC,39,25355679407,CRAFTSMAN,1,10
Refrigeration,makes a buzzing sound of and on,IW,21,474DCRHC52,GE,0,8
Cooking,error,SP,63,,GE,1,7
LawnGarden,not start,CC,90,11044836300,SAMSUNG,0,12
Washer,noise,IW,10,66513044K110,MAYTAG,0,8
Refrigeration,lilltle ice,SP,50,11068002K,KENMORE,0,4
Washer,NOT STARTING,CC,38,10656242400,HOOVER,1,4
Washer,NOT SPINNING,IW,6,MHWZ600TW01,KENMORE,1,8
LawnGarden,starting,SP,29,402DV431AGW,KENMORE,0,4
Washer,no power,CC,1,SHU43C05UC/17,,1,7
Refrigeration,ice maker not working,IW,31,11047532600,CRAFTSMAN,1,12
Refrigeration,ice maker,IW,61,MED5770TQ0,Kenmore,0,7
LawnGarden,info,SP,53,666KUDS30FXSS,KENMORE,1,3
Cooking,mwo-power cord,CC,53,TPS24BPDABS,GE,0,5
Washer,not starting,IW,95,13953985,SAMSUNG,0,7
Washer,info,SP,99,GI7FVCXWY01,KENMORE,1,6
Washer,NOT WORKING,CC,64,11020832990,KENMORE ELIT,0,1
Refrigeration,making noise,IW,64,13953930,KENMORE,0,10
Dryer,NOT HEATING,SP,23,41744042400,KENMORE,1,9
Cooking,,CC,45,25355699400,Whirlpool,0,5
Dryer,too long,IW,37,6651684993,SAMSUNG,0,6
Washer,streaks on cloths,SP,52,79551312010,KENMORE,1,6
Refrigeration,MWO,CC,30,15333204,KENMORE,1,4
LawnGarden,change,IW,23,PSS25NGNAW,KENMORE,0,9
Electronics,SCREEN,SP,40,665RBD245PRB00,KENMORE,0,11
Washer,starting,CC,49,11072912100,KENMORE,0,10
Refrigeration,a,IW,47,13953985,PROFORM,0,3
Washer,clothes coming out too wet,SP,65,116.226132,SAMSUNG,0,9
LawnGarden,flat trire,CC,39,11024822200,KENMORE,1,10
Dryer,noise,IW,6,SL122F-L / P75400-18WL,CRAFTSMAN,0,7
Dryer,not starting,SP,84,,KENMORE,0,9
Refrigeration,demo,CC,7,RF265AABP/XAA,KITCHENAID,1,1
Cooking,clicking,IW,76,11022722100,MAYTAG,0,4
Washer,clothes not being cleaned,SP,79,11024632300,KENMORE ELIT,0,10
Refrigeration,handle,CC,32,79048789900,KENMORE,1,6
Cooking,error code,IW,15,,KENMORE,0,8
HVAC,not heating,SP,75,,KENMORE ELIT,0,9
LawnGarden,not starting,CC,43,11065062500,MAYTAG,0,7
Refrigeration,NDCS/no water or ice/ panel locked,IW,79,10653544300,CRAFTSMAN,1,4
Dryer,air dry,SP,57,110WGD9450WW,WHIRLPOOL,1,9
Dish,leaking water from door,CC,5,,KENMORE,0,3
Refrigeration,drawer cracked,IW,68,11082826100,HUSQVARNA,0,11
LawnGarden,.,SP,52,917.370691,KENMORE,1,1
Refrigeration,REFRIG- FRAME ON LONG DRAWER CRACKED,CC,38,630SHX68R55UC,KENMORE,0,12
Dish,.,IW,98,MFD2560HEB,KENMORE,0,8
Washer,leaking on door,SP,87,,WHIRLPOOL,0,10
LawnGarden,bagger not working,CC,62,,KENMORE,1,9
Dish,adjsuter is broken,IW,91,11066922500,KENMORE,0,3
Dryer,door not closing,SP,23,110WFW94HEXL,CRAFTSMAN,1,1
Refrigeration,not cooling,CC,87,11047532601,KENMORE,1,5
Dryer,heating,IW,55,REFRIGERATOR,KENMORE ELIT,0,7
Dish,dishes not coming out clean,SP,62,MSD2754GRW,KITCHENA,1,8
Washer,water line,CC,36,110GHW9160PW,KENMORE,0,4
Refrigeration,broken,IW,33,,SONY,1,1
